D,Theft,01/23/18. 05:07 AM.,THEFT FROM MOTOR VEHICLE 2305,Details
E,Theft,01/23/18. 01:52 AM.,THEFT FROM MOTOR VEHICLE 2305,Details
F,Other,01/23/18. 02:00 AM.,ALL OTHER 7385,Details
G,Theft,01/23/18. 06:10 PM.,THEFT FROM MOTOR VEHICLE 2305,Details
H,Other,01/23/18. 04:15 PM.,ALL OTHER 7372,Details
I,Theft,01/23/18. 05:00 PM.,THEFT FROM MOTOR VEHICLE 2305,Details
J,Theft,01/23/18. 11:35 PM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 2699,Details
K,Assault,01/23/18. 06:47 PM.,SIMPLE ASSAULT 1313,Details
L,Theft,01/23/18. 10:16 PM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 2699,Details
M,Theft,01/23/18. 05:40 PM.,IDENTITY THEFT FRAUD 2609,Details
N,Theft,01/23/18. 05:20 PM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 2699,Details
O,Other,01/23/18. 07:37 AM.,ALL OTHER 5012,Details
P,Arrest,01/23/18. 09:31 AM.,DRUG/NARCOTIC VIOLATIONS 3562,Details
A,Theft,01/22/18. 12:00 PM.,IDENTITY THEFT FRAUD 2609,Details
B,Other,01/22/18. 01:39 PM.,ALL OTHER 7381,Details
C,Theft,01/22/18. 12:43 PM.,POCKETPICKING 2301,Details
D,Theft,01/22/18. 03:45 PM.,THEFT FROM BUILDING 2308,Details
E,Arrest,01/22/18. 08:43 PM.,DRUG EQUIPMENT VIOLATIONS 3550,Details
F,Other,01/22/18. 08:43 PM.,ALL OTHER 5015,Details
G,Theft,01/22/18. 07:20 PM.,ALL OTHER LARCENY 2399,Details
H,Theft,01/22/18. 03:06 PM.,SHOPLIFTING 3078,Details
I,Assault,01/22/18. 12:32 PM.,SIMPLE ASSAULT 1313,Details
J,Arrest,01/22/18. 12:05 AM.,DRIVING UNDER THE INFLUENCE 8027,Details
A,Theft,01/21/18. 10:00 AM.,IDENTITY THEFT FRAUD 2609,Details
B,Vandalism,01/21/18. 03:15 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
C,Vandalism,01/21/18. 12:00 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2901,Details
D,Theft,01/21/18. 05:00 PM.,THEFT FROM BUILDING 2308,Details
E,Other,01/21/18. 03:45 PM.,ALL OTHER 7385,Details
F,Burglary,01/21/18. 09:30 AM.,BURGLARY/BREAKING & ENTERING 2275,Details
G,Theft,01/21/18. 12:00 PM.,THEFT FROM BUILDING 2308,Details
H,Vandalism,01/21/18. 11:30 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2903,Details
I,Other,01/21/18. 03:15 AM.,ALL OTHER 7402,Details
J,Other,01/21/18. 05:10 PM.,TRESPASS OF REAL PROPERTY 5707,Details
K,Burglary,01/21/18. 12:15 PM.,BURGLARY/BREAKING & ENTERING 2275,Details
L,Vandalism,01/21/18. 02:30 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
M,Vandalism,01/21/18. 05:00 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
N,Theft,01/21/18. 12:00 AM.,THEFT FROM BUILDING 2308,Details
O,Arrest,01/21/18. 01:56 AM.,DRUG/NARCOTIC VIOLATIONS 3532,Details
P,Other,01/21/18. 07:20 PM.,TRESPASS OF REAL PROPERTY 5707,Details
Q,Theft,01/21/18. 01:45 PM.,THEFT FROM BUILDING 2308,Details
R,Other,01/21/18. 06:49 PM.,TRESPASS OF REAL PROPERTY 5707,Details
S,Theft,01/21/18. 05:10 PM.,ALL OTHER LARCENY 2399,Details
T,Assault,01/21/18. 02:12 PM.,SIMPLE ASSAULT 1313,Details
U,Assault,01/21/18. 05:10 PM.,SIMPLE ASSAULT 1313,Details
V,Theft,01/21/18. 04:00 PM.,ALL OTHER LARCENY 2399,Details
W,Arrest,01/21/18. 01:56 AM.,DRIVING UNDER THE INFLUENCE 8041,Details
X,Assault,01/21/18. 07:50 AM.,SIMPLE ASSAULT 1313,Details
Y,Other,01/21/18. 03:21 AM.,DISORDERLY CONDUCT 5393,Details
Z,Other,01/21/18. 03:21 AM.,ALL OTHER 7380,Details
,Other,01/21/18. 12:48 AM.,DISORDERLY CONDUCT 5311,Details
A,Theft,01/20/18. 11:30 AM.,THEFT FROM BUILDING 2308,Details
B,Vandalism,01/20/18. 11:15 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
C,Theft,01/20/18. 07:55 PM.,ALL OTHER LARCENY 2310,Details
D,Arrest,01/20/18. 07:43 PM.,DRIVING UNDER THE INFLUENCE 8041,Details
E,Other,01/20/18. 08:23 PM.,ALL OTHER 5015,Details
A,Theft,10/02/17. 04:05 PM.,SHOPLIFTING 3078,Details
B,Other,10/02/17. 01:19 PM.,TRESPASS OF REAL PROPERTY 5707,Details
C,Theft,10/02/17. 12:00 PM.,COUNTERFEITING/FORGERY 2505,Details
A,Other,10/01/17. 01:15 AM.,DISORDERLY CONDUCT 5393,Details
B,Other,10/01/17. 12:49 AM.,LIQUOR LAW VIOLATION 4196,Details
C,Theft,10/01/17. 09:50 PM.,EMBEZZLEMENT 2701,Details
D,Theft,10/01/17. 12:00 AM.,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES 2304,Details
E,Other,10/01/17. 06:46 PM.,TRESPASS OF REAL PROPERTY 5707,Details
F,Theft,10/01/17. 05:29 PM.,CREDIT CARD/ATM 2605,Details
G,Other,10/01/17. 05:35 PM.,ALL OTHER 5015,Details
H,Assault,10/01/17. 02:37 PM.,SIMPLE ASSAULT 1313,Details
I,Theft,10/01/17. 05:30 AM.,CREDIT CARD/ATM 2605,Details
J,Other,10/01/17. 11:13 AM.,ALL OTHER 5005,Details
K,Other,10/01/17. 03:06 AM.,ALL OTHER 5005,Details
L,Arrest,10/01/17. 01:16 AM.,DRIVING UNDER THE INFLUENCE 8027,Details
M,Other,10/01/17. 01:36 AM.,DISORDERLY CONDUCT 5311,Details
A,Other,09/30/17. 12:44 AM.,LIQUOR LAW VIOLATION 4103,Details
B,Vandalism,09/30/17. 10:02 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
C,Vandalism,09/30/17. 12:00 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
D,Vandalism,09/30/17. 03:15 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
E,Vandalism,09/30/17. 07:30 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
F,Theft,09/30/17. 02:30 PM.,IDENTITY THEFT FRAUD 2609,Details
G,Theft,09/30/17. 09:09 PM.,PURSE SNATCHING 2302,Details
H,Other,09/30/17. 09:51 PM.,TRESPASS OF REAL PROPERTY 5707,Details
I,Theft,09/30/17. 04:25 PM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 2602,Details
J,Other,09/30/17. 04:52 PM.,FAMILY OFFENSE NONVIOLENT 3806,Details
K,Assault,09/30/17. 12:02 PM.,INTIMIDATION 1316,Details
